"Target","Var1","Var2","Var3","RMSE"
"SalePrice","N_FacilitiesInApt","N_FacilitiesNearby.corr_neg","Size.sqf.",58441.3857362256
"SalePrice","HallwayType","Size.sqf.","TimeToSubway",58455.1090897143
"SalePrice","Size.sqf.","SubwayStation","YearBuilt_2000_2010",58460.5328020013
"SalePrice","N_FacilitiesInApt","Size.sqf.","TimeToSubway_05vsOther",58461.7180199497
"SalePrice","Size.sqf.","YearBuilt_2000_2010","YearBuilt_2005",58471.1163074378
"SalePrice","N_FacilitiesNearBy.Total.","Size.sqf.","YrSold",58475.3070147971
"SalePrice","N_SchoolNearBy.University._012vs345","Size.sqf.","YearBuilt_2000_2010",58481.7357155706
"SalePrice","N_FacilitiesNearBy.ETC._0vsOther","Size.sqf.","YearBuilt_2000_2010",58513.4339993109
"SalePrice","Size.sqf.","TimeToSubway_Novs05vsOther","YearBuilt",58519.1246071769
"SalePrice","N_Parkinglot.Basement.","Size.sqf.","YearBuilt_2000_2010",58532.4610532844
"SalePrice","N_FacilitiesNearBy.Dpartmentstore.","Size.sqf.","YearBuilt_2000_2010",58532.509373603
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","TimeToSubway_05vsOther",58535.2522364209
"SalePrice","N_SchoolNearBy.Middle._0vs123vs4","Size.sqf.","YearBuilt_2000_2010",58551.6574719056
"SalePrice","N_FacilitiesNearBy.ETC.","Size.sqf.","YrSold",58560.7137277157
"SalePrice","Floor","Size.sqf.","YearBuilt_2000_2010",58604.3552263917
"SalePrice","N_FacilitiesInApt","N_FacilitiesNearBy.ETC._0vsOther","Size.sqf.",58609.130364112
"SalePrice","HallwayType","Size.sqf.","YearBuilt",58609.7678104574
"SalePrice","Size.sqf.","TimeToSubway_05vsOther","YearBuilt",58653.5043533532
"SalePrice","N_SchoolNearBy.High.","Size.sqf.","YrSold",58662.6721936146
"SalePrice","HallwayType","N_FacilitiesInApt_123vs45678vs910","Size.sqf.",58685.2987536343
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.Middle._chr","Size.sqf.",58698.0201855739
"SalePrice","N_FacilitiesNearby.corr_neg","N_Parkinglot.Basement.","Size.sqf.",58700.8153115378
"SalePrice","N_FacilitiesNearby.corr_pos","Size.sqf.","YearBuilt_2000_2010",58702.2678346462
"SalePrice","Size.sqf.","SubwayStation","YrSold_2013",58720.2378619475
"SalePrice","N_FacilitiesNearBy.Total._cut","Size.sqf.","YrSold_2011_2014",58773.0709728655
"SalePrice","N_manager_splitAt4","Size.sqf.","YearBuilt_2005",58781.3708530067
"SalePrice","N_FacilitiesNearBy.Park.","Size.sqf.","YearBuilt_2000_2010",58813.1338396068
"SalePrice","N_FacilitiesNearBy.Park.","Size.sqf.","YrSold",58854.928580477
"SalePrice","AptManageType","Size.sqf.","YrSold",58856.8587684764
"SalePrice","N_FacilitiesNearBy.Hospital.","Size.sqf.","YearBuilt_2000_2010",58883.792544164
"SalePrice","N_FacilitiesNearby.corr_pos","Size.sqf.","YrSold",58889.2988182287
"SalePrice","Floor","Size.sqf.","YrSold_2011_2014",58889.3510605972
"SalePrice","N_FacilitiesNearBy.ETC._0vsOther","Size.sqf.","YearBuilt",58909.0244729654
"SalePrice","N_SchoolNearBy.University._0vs12vs345","Size.sqf.","YearBuilt",58973.2592989324
"SalePrice","N_Parkinglot.Basement.","Size.sqf.","TimeToSubway",58976.5587509034
"SalePrice","N_SchoolNearBy.High._0vs12vs345","Size.sqf.","YrSold_2011_2014",59005.3888575785
"SalePrice","N_Parkinglot.Basement.","N_SchoolNearBy.University.","Size.sqf.",59023.8399735902
"SalePrice","N_FacilitiesInApt","N_FacilitiesNearBy.Total.","Size.sqf.",59024.4381898171
"SalePrice","N_FacilitiesNearBy.Total._cut","Size.sqf.","YearBuilt_2000_2010",59046.7553077404
"SalePrice","N_Parkinglot.Basement.","N_SchoolNearBy.University._0vs12vs345","Size.sqf.",59062.0102977246
"SalePrice","N_SchoolNearBy.Elementary._cat","Size.sqf.","YrSold_2011_2014",59081.9926549019
"SalePrice","N_Parkinglot.Basement.","Size.sqf.","SubwayStation",59107.3327075281
"SalePrice","Size.sqf.","SubwayStation","YearBuilt",59134.1624771788
"SalePrice","Size.sqf.","SubwayStation","YearBuilt_2005",59144.4643017292
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.University._012vs345","Size.sqf.",59154.8443232473
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.University._0vs12vs345","Size.sqf.",59156.9406743704
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_FacilitiesNearby.corr_neg","Size.sqf.",59159.8248478946
"SalePrice","N_FacilitiesNearBy.PublicOffice._gr_stat","Size.sqf.","YearBuilt",59169.1443349343
"SalePrice","N_Parkinglot.Basement.","N_SchoolNearBy.University._012vs345","Size.sqf.",59175.3519742965
"SalePrice","N_manager","Size.sqf.","YearBuilt_2005",59190.2127325913
"SalePrice","N_FacilitiesNearBy.Total.","N_Parkinglot.Basement.","Size.sqf.",59207.3853266295
